"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
130,"13/11/2015","Houston Rockets",11,98,9,2,"L 1","Denver Nuggets",8,11,12,107,9,2,"W 2"
131,"13/11/2015","Minnesota Timberwolves",18,103,9,1,"L 2","Indiana Pacers",12,11,10,107,10,2,"W 2"
132,"13/11/2015","Portland Trail Blazers",25,100,10,2,"L 3","Memphis Grizzlies",15,10,10,101,10,2,"L 4"
133,"13/11/2015","Cleveland Cavaliers",6,90,9,3,"W 7","New York Knicks",20,10,12,84,10,2,"L 1"
134,"13/11/2015","Philadelphia 76ers",23,85,9,2,"L 8","Oklahoma City Thunder",21,10,12,102,9,3,"W 2"
135,"13/11/2015","Utah Jazz",29,93,9,1,"L 2","Orlando Magic",22,12,12,102,10,2,"W 1"
136,"13/11/2015","Brooklyn Nets",3,109,9,2,"W 1","Sacramento Kings",26,10,12,111,10,2,"W 1"
137,"13/11/2015","New Orleans Pelicans",19,81,9,2,"L 1","Toronto Raptors",28,11,12,100,10,2,"W 1"
138,"14/11/2015","Brooklyn Nets",3,99,10,1,"L 1","Golden State Warriors",10,10,10,107,11,2,"W 10"
139,"14/11/2015","Dallas Mavericks",7,110,10,1,"W 2","Houston Rockets",11,10,10,98,10,1,"L 2"
140,"14/11/2015","Detroit Pistons",9,96,9,3,"L 2","Los Angeles Clippers",13,9,11,101,10,2,"L 2"
141,"14/11/2015","Cleveland Cavaliers",6,105,10,1,"W 8","Milwaukee Bucks",17,11,11,108,10,3,"L 2"
142,"14/11/2015","Denver Nuggets",8,81,10,1,"W 3","Phoenix Suns",24,12,12,105,9,2,"W 1"
143,"14/11/2015","Philadelphia 76ers",23,83,10,1,"L 9","San Antonio Spurs",27,10,12,92,9,3,"W 3"
144,"14/11/2015","Orlando Magic",22,99,11,1,"W 2","Washington Wizards",30,9,11,108,8,4,"L 3"
145,"15/11/2015","Utah Jazz",29,97,10,2,"L 3","Atlanta Hawks",1,11,11,96,12,2,"L 1"
